timestamp_utc,central_roll_deg,peripheral_roll_deg,knee_angle_deg,emg_quad_envelope,emg_ham_envelope,pair_dt_ms,left_knee_angle_deg,left_emg_quad_envelope,left_emg_ham_envelope
2026-01-28T12:00:00+00:00,-4.063067,-2.2841115,-6.06062,104.46089,91.85183,11.0,0.0,0.0,0.0
2026-01-28T12:00:00.050000+00:00,-6.2323055,-4.5329556,-10.585867,102.52529,84.52097,26.0,0.0,0.0,0.0
2026-01-28T12:00:00.100000+00:00,-3.8016844,-2.4044566,-6.920318,94.26107,98.78885,20.0,0.0,0.0,0.0
2026-01-28T12:00:00.150000+00:00,-5.6010756,-4.422204,-10.4284725,114.6992,88.66729,22.0,0.0,0.0,0.0
2026-01-28T12:00:00.200000+00:00,-3.8919954,-3.1467586,-6.108825,108.22163,82.12882,9.0,0.0,0.0,0.0
2026-01-28T12:00:00.250000+00:00,-6.490584,-5.0240135,-11.099801,86.53922,79.04515,18.0,0.0,0.0,0.0
2026-01-28T12:00:00.300000+00:00,-5.3577604,-5.0298753,-9.492169,98.98071,98.8212,14.0,0.0,0.0,0.0
2026-01-28T12:00:00.350000+00:00,-5.080787,-3.7584915,-9.293327,99.65462,85.55804,27.0,0.0,0.0,0.0
2026-01-28T12:00:00.400000+00:00,-7.1489367,-5.0007715,-12.134566,79.29334,86.677505,19.0,0.0,0.0,0.0
2026-01-28T12:00:00.450000+00:00,-3.4496434,-2.4066584,-6.518063,90.07246,90.22205,11.0,0.0,0.0,0.0
2026-01-28T12:00:00.500000+00:00,-6.192903,-4.8442264,-11.086324,108.76957,83.61707,11.0,0.0,0.0,0.0
2026-01-28T12:00:00.550000+00:00,-6.405219,-4.606199,-10.622676,99.84624,81.09276,10.0,0.0,0.0,0.0
2026-01-28T12:00:00.600000+00:00,-4.978759,-4.6238484,-9.212115,103.69813,84.30859,9.0,0.0,0.0,0.0
2026-01-28T12:00:00.650000+00:00,-3.9128556,-2.864333,-6.724391,101.80595,90.2486,20.0,0.0,0.0,0.0
2026-01-28T12:00:00.700000+00:00,-4.403164,-4.76189,-9.68094,100.44061,88.712685,12.0,0.0,0.0,0.0
2026-01-28T12:00:00.750000+00:00,-1.8572537,-1.6495688,-4.3558373,96.12186,83.5903,24.0,0.0,0.0,0.0
2026-01-28T12:00:00.800000+00:00,-4.1371326,-3.5847847,-8.181469,89.70517,86.45485,24.0,0.0,0.0,0.0
2026-01-28T12:00:00.850000+00:00,-4.6901226,-3.7284527,-8.682572,85.951706,97.67546,24.0,0.0,0.0,0.0
2026-01-28T12:00:00.900000+00:00,-3.7222803,-4.2105603,-7.281119,93.53817,94.942154,21.0,0.0,0.0,0.0
2026-01-28T12:00:00.950000+00:00,-4.3076835,-3.6677074,-8.38266,106.86695,86.520546,20.0,0.0,0.0,0.0
2026-01-28T12:00:01+00:00,-6.187243,-5.2404118,-10.14251,107.96544,90.345146,12.0,0.0,0.0,0.0
2026-01-28T12:00:01.050000+00:00,-4.631796,-3.6749308,-9.177325,110.70875,88.3295,26.0,0.0,0.0,0.0
2026-01-28T12:00:01.100000+00:00,-4.939216,-3.4740942,-7.8154993,98.8409,91.556496,16.0,0.0,0.0,0.0
2026-01-28T12:00:01.150000+00:00,-3.381954,-2.5554993,-5.136063,93.24599,101.32175,22.0,0.0,0.0,0.0
