timestamp_utc,central_roll_deg,peripheral_roll_deg,knee_angle_deg,emg_quad_envelope,emg_ham_envelope,pair_dt_ms,left_knee_angle_deg,left_emg_quad_envelope,left_emg_ham_envelope
2026-01-05T12:00:00+00:00,-5.039921,-2.9615133,-8.233676,77.91836,54.826912,13.0,0.0,0.0,0.0
2026-01-05T12:00:00.050000+00:00,-5.4347754,-4.192444,-9.715503,88.40714,75.577385,24.0,0.0,0.0,0.0
2026-01-05T12:00:00.100000+00:00,-5.9853606,-5.0097327,-9.86856,69.72583,69.61771,27.0,0.0,0.0,0.0
2026-01-05T12:00:00.150000+00:00,-6.017264,-3.7927785,-8.296301,63.94575,61.937862,12.0,0.0,0.0,0.0
2026-01-05T12:00:00.200000+00:00,-3.8136108,-4.281861,-6.8231835,69.31369,59.427956,25.0,0.0,0.0,0.0
2026-01-05T12:00:00.250000+00:00,-4.6190276,-3.8573093,-8.089722,60.359394,63.26712,14.0,0.0,0.0,0.0
2026-01-05T12:00:00.300000+00:00,-4.7497325,-4.0723853,-9.425642,72.11224,69.67732,24.0,0.0,0.0,0.0
2026-01-05T12:00:00.350000+00:00,-6.691826,-5.4888945,-11.818251,58.350605,60.854023,16.0,0.0,0.0,0.0
2026-01-05T12:00:00.400000+00:00,-5.666033,-5.403163,-10.394051,66.3804,62.352016,17.0,0.0,0.0,0.0
2026-01-05T12:00:00.450000+00:00,-5.098015,-4.6976185,-10.139423,74.33636,68.76374,26.0,0.0,0.0,0.0
2026-01-05T12:00:00.500000+00:00,-3.8607547,-1.9566154,-6.538281,57.041298,64.033134,25.0,0.0,0.0,0.0
2026-01-05T12:00:00.550000+00:00,-8.210195,-5.2648273,-13.105939,57.039967,63.271564,27.0,0.0,0.0,0.0
2026-01-05T12:00:00.600000+00:00,-4.268788,-3.4237316,-7.7553554,63.981514,47.82953,19.0,0.0,0.0,0.0
2026-01-05T12:00:00.650000+00:00,-5.9678626,-3.9650307,-9.828925,65.19858,66.29903,13.0,0.0,0.0,0.0
2026-01-05T12:00:00.700000+00:00,-3.8418906,-3.545288,-7.85341,72.56762,65.74204,15.0,0.0,0.0,0.0
2026-01-05T12:00:00.750000+00:00,-7.429639,-6.166632,-12.682184,62.538,62.18175,27.0,0.0,0.0,0.0
2026-01-05T12:00:00.800000+00:00,-5.559318,-3.9742837,-9.235878,57.989346,56.764732,14.0,0.0,0.0,0.0
2026-01-05T12:00:00.850000+00:00,-3.6027024,-2.7992043,-7.7051234,81.57738,69.925415,20.0,0.0,0.0,0.0
2026-01-05T12:00:00.900000+00:00,-4.5676246,-3.7278628,-8.776422,74.90533,56.09188,16.0,0.0,0.0,0.0
2026-01-05T12:00:00.950000+00:00,-4.1585684,-3.317319,-6.9611273,69.21315,71.76181,24.0,0.0,0.0,0.0
2026-01-05T12:00:01+00:00,-5.4698887,-3.8694968,-8.000364,65.01045,63.170845,22.0,0.0,0.0,0.0
2026-01-05T12:00:01.050000+00:00,-4.489228,-3.4225307,-8.321294,79.5632,66.58351,10.0,0.0,0.0,0.0
2026-01-05T12:00:01.100000+00:00,-5.9900537,-5.5915647,-11.418917,74.986275,67.55867,15.0,0.0,0.0,0.0
2026-01-05T12:00:01.150000+00:00,-4.1620536,-4.473767,-9.714441,73.07609,62.994835,13.0,0.0,0.0,0.0
2026-01-05T12:00:01.200000+00:00,-5.5398674,-4.401246,-10.209422,62.746544,56.393353,22.0,0.0,0.0,0.0
