timestamp,device_timestamp_ms,knee_angle_deg,emg_quad_envelope,emg_ham_envelope,left_knee_angle_deg,left_emg_quad_envelope,left_emg_ham_envelope
2026-05-09 05:48:29.615046+00:00,0,-14.965739,47.48409,46.712746,-14.34164,194.73985,175.97815
2026-05-09 05:48:29.650046+00:00,35,-12.349654,46.9317,48.801838,-14.23485,198.13846,168.50203
2026-05-09 05:48:29.675046+00:00,60,-14.826242,53.07247,43.436737,-14.78766,196.82587,168.49358
2026-05-09 05:48:29.705046+00:00,90,-13.942566,52.32515,39.751694,-14.605982,197.32516,172.38503
2026-05-09 05:48:29.755046+00:00,140,-13.83687,47.358574,47.36993,-14.563919,199.74937,162.64017
2026-05-09 05:48:29.777046+00:00,162,-13.545603,43.341595,43.804653,-14.473524,199.90608,173.19836
2026-05-09 05:48:29.799046+00:00,184,-13.392062,40.61677,54.720314,-14.455421,202.25993,176.36542
2026-05-09 05:48:29.815046+00:00,200,-11.573198,41.275387,43.79304,-14.132141,196.22316,173.59575
2026-05-09 05:48:29.863046+00:00,248,-14.437884,45.7965,50.047928,-14.100262,200.04706,167.87672
2026-05-09 05:48:29.883046+00:00,268,-13.525171,50.54565,44.14325,-14.642673,199.90051,168.83012
2026-05-09 05:48:29.943046+00:00,328,-13.923159,40.63449,46.887672,-14.193189,198.2633,171.19302
2026-05-09 05:48:29.963046+00:00,348,-12.853729,40.960796,42.512585,-13.988508,203.0563,172.09547
2026-05-09 05:48:30.002046+00:00,387,-13.389827,50.850487,42.140713,-14.038606,196.08517,175.8419
2026-05-09 05:48:30.029046+00:00,414,-13.618581,56.806324,48.121525,-14.338852,198.4528,175.7067
2026-05-09 05:48:30.097046+00:00,482,-15.333343,54.4066,45.389545,-14.412213,198.91484,170.35428
2026-05-09 05:48:30.116046+00:00,501,-14.288024,39.754505,49.94731,-14.815373,194.40639,169.40611
2026-05-09 05:48:30.160046+00:00,545,-14.812464,50.92135,51.968174,-14.517561,201.79483,168.65514
2026-05-09 05:48:30.186046+00:00,571,-14.280446,53.741673,40.599575,-14.840705,197.6802,172.93343
2026-05-09 05:48:30.233046+00:00,618,-14.660406,46.486385,51.173206,-14.0505905,199.3118,174.23972
2026-05-09 05:48:30.255046+00:00,640,-14.351757,47.778313,42.956997,-14.471741,202.7392,171.20483
2026-05-09 05:48:30.345046+00:00,730,-14.24345,50.630215,45.469986,-14.417674,198.64503,170.99635
2026-05-09 05:48:30.384046+00:00,769,-14.225527,51.401714,41.194744,-14.57652,198.12108,177.3392
2026-05-09 05:48:30.409046+00:00,794,-14.125575,50.848297,41.31426,-14.813983,198.19923,173.03998
2026-05-09 05:48:30.439046+00:00,824,-14.761241,52.584084,39.021458,-14.177073,194.98521,164.8413
2026-05-09 05:48:30.558046+00:00,943,-13.78614,50.04095,45.1843,-14.232427,196.85828,170.89717
2026-05-09 05:48:30.600046+00:00,985,-14.721517,45.833595,47.047153,-14.095941,197.5457,171.6044
2026-05-09 05:48:30.626046+00:00,1011,-14.411165,46.731373,45.316326,-14.8946495,198.29459,170.19168
2026-05-09 05:48:30.643046+00:00,1028,-13.855652,45.066826,39.639675,-13.96765,202.13593,174.78526
2026-05-09 05:48:30.688046+00:00,1073,-16.389769,46.657383,38.974403,-14.395535,200.7874,170.01067
2026-05-09 05:48:30.714046+00:00,1099,-11.298683,51.771305,46.842697,-14.121805,196.2371,168.04599
2026-05-09 05:48:30.736046+00:00,1121,-13.268175,45.09886,49.958347,-15.142103,197.92958,168.86948
2026-05-09 05:48:30.761046+00:00,1146,-13.470031,54.312466,47.793385,-14.224309,202.20233,173.0235
2026-05-09 05:48:30.780046+00:00,1165,-14.3117895,44.021084,54.27386,-14.366719,192.82806,166.93532
2026-05-09 05:48:30.827046+00:00,1212,-13.691817,49.978886,46.64976,-14.408342,197.31754,169.52112
2026-05-09 05:48:30.847046+00:00,1232,-14.997819,53.141796,48.06396,-14.369649,194.08154,173.54158
2026-05-09 05:48:30.899046+00:00,1284,-13.289081,51.20668,46.718185,-14.51517,205.33035,166.91895
2026-05-09 05:48:30.918046+00:00,1303,-15.468702,39.725285,43.67612,-14.75895,200.31688,167.88818
2026-05-09 05:48:30.938046+00:00,1323,-15.053487,49.628967,46.145275,-14.715603,196.51125,165.91472
2026-05-09 05:48:30.964046+00:00,1349,-14.493271,45.273705,50.156258,-14.328731,197.89265,168.31334
2026-05-09 05:48:31.076046+00:00,1461,-12.26471,42.351543,50.312508,-13.941152,195.53471,169.43263
2026-05-09 05:48:31.103046+00:00,1488,-14.88234,50.077084,48.23249,-14.000263,203.97408,170.28822
2026-05-09 05:48:31.136046+00:00,1521,-13.440614,42.718044,53.13131,-14.261211,191.12032,168.24982
2026-05-09 05:48:31.163046+00:00,1548,-15.841755,50.18673,48.632183,-14.4740715,198.98235,169.85338
2026-05-09 05:48:31.240046+00:00,1625,-13.738163,56.242558,48.109253,-13.69792,197.78647,173.93903
2026-05-09 05:48:31.265046+00:00,1650,-12.020208,50.473877,52.811035,-14.109922,194.91373,172.00177
2026-05-09 05:48:31.315046+00:00,1700,-13.252944,47.79863,43.942112,-14.129287,197.24614,177.40324
2026-05-09 05:48:31.342046+00:00,1727,-15.830368,48.15916,52.514362,-14.703343,193.13782,168.98097
2026-05-09 05:48:31.442046+00:00,1827,-13.686112,53.53261,42.906452,-14.203592,202.70947,169.65242
2026-05-09 05:48:31.467046+00:00,1852,-14.18691,47.434704,45.738148,-14.642522,198.07686,171.46252
2026-05-09 05:48:31.554046+00:00,1939,-12.470718,46.635876,39.456577,-13.62395,200.74516,169.45659
2026-05-09 05:48:31.574046+00:00,1959,-13.796235,44.306107,47.8072,-14.4951935,196.54622,170.92023
2026-05-09 05:48:31.600046+00:00,1985,-15.135072,44.492325,52.104664,-14.419245,202.03377,165.24695
2026-05-09 05:48:31.625046+00:00,2010,-13.822466,53.428898,43.051003,-14.426641,198.10431,169.88791
2026-05-09 05:48:31.675046+00:00,2060,-14.377019,46.532814,45.670975,-14.335226,201.21878,173.63318
2026-05-09 05:48:31.699046+00:00,2084,-15.842409,51.73881,45.915634,-14.019681,199.70229,176.71101
2026-05-09 05:48:31.766046+00:00,2151,-13.842523,52.142693,45.941883,-14.211207,197.89911,175.34637
2026-05-09 05:48:31.805046+00:00,2190,-13.65767,44.182583,42.610813,-14.193253,200.99905,171.37764
2026-05-09 05:48:31.832046+00:00,2217,-13.275841,44.987274,46.95225,-13.986026,210.55618,172.44356
2026-05-09 05:48:31.856046+00:00,2241,-12.634157,51.849003,53.082268,-14.653037,194.60648,171.9915
2026-05-09 05:48:31.878046+00:00,2263,-13.933098,49.664978,44.79867,-13.969816,197.63736,169.33711
2026-05-09 05:48:31.900046+00:00,2285,-15.155138,48.068478,47.723106,-14.151469,194.11899,168.12253
2026-05-09 05:48:31.923046+00:00,2308,-14.485833,51.27128,47.691067,-14.399723,199.24414,171.74484
2026-05-09 05:48:31.977046+00:00,2362,-13.659084,54.024914,45.21964,-14.142544,198.67732,170.66965
2026-05-09 05:48:32.036046+00:00,2421,-12.41567,48.768017,47.91529,-14.141665,203.82796,173.51787
2026-05-09 05:48:32.055046+00:00,2440,-13.624609,46.118294,45.278873,-14.956232,197.23013,163.85829
2026-05-09 05:48:32.075046+00:00,2460,-13.7521515,49.54888,48.472755,-13.746712,200.85556,170.4794
2026-05-09 05:48:32.105046+00:00,2490,-13.825915,44.939117,46.520214,-13.762729,191.76099,174.62767
2026-05-09 05:48:32.157046+00:00,2542,-13.553865,49.676327,41.179188,-14.469767,198.45534,172.72919
2026-05-09 05:48:32.176046+00:00,2561,-11.621338,48.97225,39.606018,-14.295803,195.39058,168.05095
2026-05-09 05:48:32.257046+00:00,2642,-13.715136,44.883392,38.250427,-13.765105,199.77682,167.07289
2026-05-09 05:48:32.276046+00:00,2661,-13.901462,46.93885,45.16162,-13.979073,201.45396,170.86157
2026-05-09 05:48:32.325046+00:00,2710,-13.664904,47.341545,50.124966,-14.134518,196.20016,173.35555
