timestamp,device_timestamp_ms,knee_angle_deg
2026-05-12 03:03:34.007734+00:00,0,-16.59348
2026-05-12 03:03:34.042734+00:00,35,-15.138474
2026-05-12 03:03:34.067734+00:00,60,-16.89908
2026-05-12 03:03:34.097734+00:00,90,-15.249141
2026-05-12 03:03:34.147734+00:00,140,-15.916599
2026-05-12 03:03:34.169734+00:00,162,-16.750755
2026-05-12 03:03:34.191734+00:00,184,-16.766714
2026-05-12 03:03:34.207734+00:00,200,-12.206227
2026-05-12 03:03:34.255734+00:00,248,-15.460107
2026-05-12 03:03:34.275734+00:00,268,-16.193794
2026-05-12 03:03:34.335734+00:00,328,-16.435383
2026-05-12 03:03:34.355734+00:00,348,-14.937581
2026-05-12 03:03:34.394734+00:00,387,-16.482828
2026-05-12 03:03:34.421734+00:00,414,-17.116772
2026-05-12 03:03:34.489734+00:00,482,-15.634036
2026-05-12 03:03:34.508734+00:00,501,-15.643082
2026-05-12 03:03:34.552734+00:00,545,-16.167418
2026-05-12 03:03:34.578734+00:00,571,-16.826641
2026-05-12 03:03:34.625734+00:00,618,-16.130222
2026-05-12 03:03:34.647734+00:00,640,-16.239727
2026-05-12 03:03:34.737734+00:00,730,-16.432066
2026-05-12 03:03:34.776734+00:00,769,-15.199787
2026-05-12 03:03:34.801734+00:00,794,-12.485127
2026-05-12 03:03:34.831734+00:00,824,-13.730294
2026-05-12 03:03:34.950734+00:00,943,-12.873796
2026-05-12 03:03:34.992734+00:00,985,-16.361183
2026-05-12 03:03:35.018734+00:00,1011,-13.233083
2026-05-12 03:03:35.035734+00:00,1028,-15.242925
2026-05-12 03:03:35.080734+00:00,1073,-14.181237
2026-05-12 03:03:35.106734+00:00,1099,-14.914634
2026-05-12 03:03:35.128734+00:00,1121,-16.026459
2026-05-12 03:03:35.153734+00:00,1146,-14.543253
2026-05-12 03:03:35.172734+00:00,1165,-14.867351
2026-05-12 03:03:35.219734+00:00,1212,-18.001732
2026-05-12 03:03:35.239734+00:00,1232,-15.711163
2026-05-12 03:03:35.291734+00:00,1284,-14.320381
2026-05-12 03:03:35.310734+00:00,1303,-15.147711
2026-05-12 03:03:35.330734+00:00,1323,-14.881287
